start	test	target
1	ESC	dCDM	CDM
2	ESC	HPTL	HPT
3	ESC	dDPNEU	DPNEU
4	IPS	dNEU	NEU
5	ESC	dNEU	NEU
6	ESC	dNEUPR	NEUPR
7	ESC	dRPE	RPE
8	IPS	dRPE	RPE
9	IPS	dCDM	CDM
10	IPS	dNEUST	NEUST
11	IPS	dPCB	PCB
12	ESC	dEDD	EDD
13	ESC	dFEDD	FEDD
14	ESC	dHPTEDD	HPTEDD
15	ESC	dEHPT	HPT
16	ESC	dLHPT	HPT
17	IPS	dEDD	EDD
18	IPS	dFEDD	FEDD
19	IPS	dHPTEDD	HPTEDD
20	IPS	dEHPT	HPT
21	IPS	dLHPT	HPT
22	FIB	INEU	NEU
